"campaignid","sample","family","genus","species","length","min.length","max.length","fb.length_max","reason","difference","percent.of.fb.max"
"2014-12_Geographe.Bay_stereoBRUVs","151","Labridae","Eupetrichthys","angustipes",114.85371,18.6,105.4,124,"too big",9.45371000000002,92.6239596774194
"2014-12_Geographe.Bay_stereoBRUVs","151","Carangidae","Trachurus","novaezelandiae",74.80725,75,425,500,"too small",0.192750000000004,14.96145
"2014-12_Geographe.Bay_stereoBRUVs","151","Carangidae","Trachurus","novaezelandiae",37.93911,75,425,500,"too small",37.06089,7.587822
"2014-12_Geographe.Bay_stereoBRUVs","151","Carangidae","Trachurus","novaezelandiae",66.6815,75,425,500,"too small",8.3185,13.3363
"2014-12_Geographe.Bay_stereoBRUVs","151","Carangidae","Trachurus","novaezelandiae",69.1511,75,425,500,"too small",5.8489,13.83022
"2014-12_Geographe.Bay_stereoBRUVs","151","Carangidae","Trachurus","novaezelandiae",45.56824,75,425,500,"too small",29.43176,9.113648
"2014-12_Geographe.Bay_stereoBRUVs","151","Carangidae","Trachurus","novaezelandiae",54.14554,75,425,500,"too small",20.85446,10.829108
"2014-12_Geographe.Bay_stereoBRUVs","151","Carangidae","Trachurus","novaezelandiae",46.66893,75,425,500,"too small",28.33107,9.333786
"2014-12_Geographe.Bay_stereoBRUVs","151","Carangidae","Trachurus","novaezelandiae",37.79238,75,425,500,"too small",37.20762,7.558476
"2014-12_Geographe.Bay_stereoBRUVs","151","Carangidae","Trachurus","novaezelandiae",69.73577,75,425,500,"too small",5.26423,13.947154
"2014-12_Geographe.Bay_stereoBRUVs","579","Labridae","Coris","auricularis",394.3477,60,340,400,"too big",54.3477,98.586925
"2014-12_Geographe.Bay_stereoBRUVs","631","Labridae","Austrolabrus","maculatus",128.26038,18.825,106.675,125.5,"too big",21.58538,102.199505976096
"2014-12_Geographe.Bay_stereoBRUVs","631","Rhinobatidae","Aptychotrema","vincentiana",843.40481,118.5,671.5,790,"too big",171.90481,106.760102531646
"2014-12_Geographe.Bay_stereoBRUVs","119","Scorpididae","Scorpis","georgiana",291.7959,49.5,280.5,330,"too big",11.2959,88.423
"2014-12_Geographe.Bay_stereoBRUVs","119","Labridae","Ophthalmolepis","lineolatus",340.84357,60,340,400,"too big",0.84357,85.2108925
"2014-12_Geographe.Bay_stereoBRUVs","839","Labridae","Eupetrichthys","angustipes",142.62782,18.6,105.4,124,"too big",37.22782,115.022435483871
"2014-12_Geographe.Bay_stereoBRUVs","839","Monacanthidae","Chaetodermis","penicilligerus",296.05178,46.5,263.5,310,"too big",32.55178,95.5005741935484
"2014-12_Geographe.Bay_stereoBRUVs","633","Pomacentridae","Chromis","klunzingeri",98.14576,9.75,55.25,65,"too big",42.89576,150.993476923077
"2014-12_Geographe.Bay_stereoBRUVs","633","Labridae","Austrolabrus","maculatus",136.47248,18.825,106.675,125.5,"too big",29.79748,108.743011952191
