OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
807	1.07	2017 05 10 15:14:20	E:\EM Done\	807.EMObs
442	1.07	2017 05 10 15:14:20	E:\EM Done\	442.EMObs
73	1.07	2017 05 10 15:14:20	H:\EM Done\	73.EMObs
23	1.07	2017 05 10 15:14:20	E:\EM Done\	23.EMObs
87	1.07	2017 05 10 15:14:20	G:\EM Done\	87.EMObs
10003	1.07	2017 05 10 15:14:20	Y:\	10003.EMObs
287	1.07	2017 05 10 15:14:20	E:\EM Done\	287.EMObs
499	1.07	2017 05 10 15:14:20	H:\EM Done\	499.EMObs
61	1.07	2017 05 10 15:14:20	E:\EM Done\	61.EMObs
35	1.07	2017 05 10 15:14:20	F:\EM DONE\	35.EMObs
506	1.07	2017 05 10 15:14:20	E:\EM Done\	506.EMObs
455	1.07	2017 05 10 15:14:20	E:\EM Done\	455.EMObs
4	1.07	2017 05 10 15:14:20	H:\EM Done\	4.EMObs
13RC4	1.07	2017 05 10 15:14:20	E:\EM Done\	13RC4.EMObs
378	1.07	2017 05 10 15:14:20	\\c-fish-006\E\EM Done\	378.EMObs
71	1.07	2017 05 10 15:14:20	G:\EM DONE\	71.EMObs
428	1.07	2017 05 10 15:14:20	H:\EM Done\	428.EMObs
13RC11	1.07	2017 05 10 15:14:20	\\C-fish-006\e\EM Done\	13RC11.EMObs
101	1.07	2017 05 10 15:14:20	E:\GB CONVERT\EM Done\	101.EMObs
682	1.07	2017 05 10 15:14:20	F:\EM DONE\	682.EMObs
748	1.07	2017 05 10 15:14:20	E:\EM Done\	748.EMObs
GBR3-1	1.07	2017 05 10 15:14:20	H:\EM Done\	GBR3-1.EMObs
407	1.07	2017 05 10 15:14:20	E:\EM Done\	407.EMObs
12RC6	1.07	2017 05 10 15:14:20	E:\EM Done\	12RC6.EMObs
823	1.07	2017 05 10 15:14:20	E:\EM Done\	823.EMObs
11R3	1.07	2017 05 10 15:14:20	E:\EM Done\	11R3.EMObs
458	1.07	2017 05 10 15:14:20	E:\GB CONVERT\EM Done\	458.EMObs
170	1.07	2017 05 10 15:14:20	E:\EM Done\	170.EMObs
192	1.07	2017 05 10 15:14:20	E:\EM Done\	192.EMObs
79	1.07	2017 05 10 15:14:20	H:\EM Done\	79.EMObs
80	1.07	2017 05 10 15:14:20	E:\EM Done\	80.EMObs
175	1.07	2017 05 10 15:14:20	E:\EM Done\	175.EMObs
551	1.07	2017 05 10 15:14:20	E:\	551.EMObs
84	1.07	2017 05 10 15:14:20	F:\EM Done\Lengths Done\	84.EMObs
154	1.07	2017 05 10 15:14:20	G:\EM DONE\	154.EMObs
138	1.07	2017 05 10 15:14:20	G:\EM DONE\	138.EMObs
752	1.07	2017 05 10 15:14:20	E:\EM Done\Lengths Done\	752.EMObs
51	1.07	2017 05 10 15:14:20	F:\	51.EMObs
GBR3-3	1.07	2017 05 10 15:14:20	H:\EM Done\	GBR3-3.EMObs
304	1.07	2017 05 10 15:14:20	E:\EM Done\	304.EMObs
746	1.07	2017 05 10 15:14:20	F:\EM DONE\	746.EMObs
GBR4-2	1.07	2017 05 10 15:14:20	E:\EM Done\	GBR4-2.EMObs
GBR1-2	1.07	2017 05 10 15:14:20	E:\EM Done\	GBR1-2.EMObs
400	1.07	2017 05 10 15:14:20	E:\EM Done\	400.EMObs
75	1.07	2017 05 10 15:14:20	H:\EM Done\	75.EMObs
759	1.07	2017 05 10 15:14:20	G:\EM DONE\	759.EMObs
49	1.07	2017 05 10 15:14:20	H:\EM Done\	49.EMObs
28	1.07	2017 05 10 15:14:20	H:\EM Done\	28.EMObs
12RC2	1.07	2017 05 10 15:14:20	E:\EM Done\	12RC2.EMObs
395	1.07	2017 05 10 15:14:20	G:\EM DONE\	395.EMObs
10	1.07	2017 05 10 15:14:20	E:\EM Done\	10.EMObs
782	1.07	2017 05 10 15:14:20	E:\EM Done\	782.EMObs
439	1.07	2017 05 10 15:14:20	G:\EM DONE\	439.EMObs
81	1.07	2017 05 10 15:14:20	E:\EM Done\	81.EMObs
13RC15	1.07	2017 05 10 15:14:20	\\c-fish-006\e\EM Done\	13RC15.EMObs
32	1.07	2017 05 10 15:14:20	\\c-fish-006\E\EM Done\	32.EMObs
19	1.07	2017 05 10 15:14:20	E:\EM Done\	19.EMObs
583	1.07	2017 05 10 15:14:20	E:\EM Done\	583.EMObs
10001	1.07	2017 05 10 15:14:20	E:\EM Done\	10001.EMObs
615	1.07	2017 05 10 15:14:20	E:\EM Done\	615.EMObs
13RC1	1.07	2017 05 10 15:14:20	\\C-fish-006\e\EM Done\	13RC1.EMObs
82	1.07	2017 05 10 15:14:20	E:\EM Done\	82.EMObs
86	1.07	2017 05 10 15:14:20	F:\EM Done\Lengths Done\	86.EMObs
GBR5-1	1.07	2017 05 10 15:14:20	F:\EM Done\Lengths Done\	GBR5-1.EMObs
9	1.07	2017 05 10 15:14:20	G:\	9.EMObs
44	1.07	2017 05 10 15:14:20	X:\EM Done\	44.EMObs
247	1.07	2017 05 10 15:14:20	E:\EM Done\	247.EMObs
110	1.07	2017 05 10 15:14:20	E:\GB CONVERT\	110.EMObs
